Fecha;vv;dd;TMP;HR;PRB;RS;LL;NO;NO2;NOX;O3
01/01/2015;1.2;8;12;64;1007;99;0;2;4;6;76
02/01/2015;0.7;295;12.3;58;1009;101;0;3;9;12;62
03/01/2015;0.6;287;14.7;44;1007;104;0;3;10;13;61
04/01/2015;1;28;15.9;50;1003;102;0;3;8;11;63
05/01/2015;0.8;251;13.7;69;1001;99;0;2;6;8;68
06/01/2015;0.6;5;11.7;83;998;90;0;3;6;9;56
07/01/2015;0.9;19;12.4;75;1003;79;0;3;8;11;62
08/01/2015;1;302;12;80;1009;102;0;3;8;12;59
09/01/2015;1.1;286;12.8;69;1013;110;0;3;9;12;59
10/01/2015;0.7;274;15.7;43;1005;116;0;3;11;15;58
11/01/2015;0.8;288;16.3;42;1001;112;0;2;6;9;65
12/01/2015;1.2;257;15;68;1005;104;0;2;6;8;73
13/01/2015;0.8;278;13.9;76;999;104;0;2;9;11;68
14/01/2015;0.8;313;16.2;49;998;106;0;3;9;12;65
15/01/2015;1.3;263;14.3;65;992;109;0;3;10;13;63
16/01/2015;1.9;270;13.7;58;986;80;0;3;6;9;65
17/01/2015;1.1;286;10.6;51;994;116;0;2;5;7;72
18/01/2015;2.1;281;10.4;56;988;97;1.7;2;5;7;74
19/01/2015;4.6;24;10;71;980;32;1.5;2;4;6;67
20/01/2015;1;302;8.9;59;982;117;0;5;7;14;60
21/01/2015;1.2;245;10.7;51;981;110;0;3;6;9;65
22/01/2015;1.6;243;10.9;45;984;112;0;2;4;6;75
23/01/2015;1;254;10.9;46;991;132;0;2;5;7;74
24/01/2015;1;296;11.3;43;995;133;0;2;5;7;74
25/01/2015;1.1;222;13;41;995;133;0;2;5;7;79
26/01/2015;1.1;299;10.9;65;999;129;0;2;7;9;73
27/01/2015;1;287;12;65;997;126;0;3;10;14;66
28/01/2015;1.5;285;12.6;60;994;138;0;2;6;8;72
29/01/2015;2.2;270;16.1;54;984;125;0;2;7;9;67
30/01/2015;5.6;258;20.6;49;970;107;0;3;6;10;69
31/01/2015;;;;;;;0;;;
02/02/2015;;;;;;;0;;;
03/02/2015;4.8;285;13.7;49;974;128;0;3;5;8;77
04/02/2015;2.5;256;8.8;45;973;66;0;2;4;6;79
05/02/2015;1.6;219;7.5;35;980;120;0;3;6;9;73
06/02/2015;3.3;296;8;34;984;135;0;3;5;9;77
07/02/2015;2.2;37;7.1;51;991;87;0;2;5;7;64
08/02/2015;1.7;264;8.9;57;994;160;0;3;5;8;72
09/02/2015;2.7;59;10.6;66;997;73;0.4;2;5;8;78
10/02/2015;2.1;62;11.5;70;997;82;0.2;2;4;6;89
11/02/2015;3;64;13.1;73;993;131;0;2;4;7;91
12/02/2015;2;55;12.7;75;993;54;0;2;6;8;82
13/02/2015;0.7;251;13.1;70;994;167;0;3;10;13;68
14/02/2015;1.8;278;15.3;53;989;119;0;2;5;7;77
15/02/2015;1.8;239;17;56;984;164;0.5;2;4;6;69
16/02/2015;2.9;241;16.4;56;989;161;0;2;4;7;75
17/02/2015;5.9;44;12.2;77;995;68;6.2;2;4;6;78
18/02/2015;7.1;52;12.5;73;1002;90;0.2;2;4;6;84
19/02/2015;5.5;53;12.5;68;1001;135;0;3;4;8;101
20/02/2015;2.5;54;12.4;67;994;177;0;3;6;9;91
21/02/2015;2.3;202;12.6;61;981;67;1;3;5;8;79
22/02/2015;2.9;198;13.2;43;984;161;0.2;2;4;7;89
23/02/2015;2;239;17.1;52;986;138;0.2;2;5;8;70
24/02/2015;3.4;233;14.9;34;993;169;0.2;2;4;6;85
25/02/2015;5.2;188;16.4;36;993;151;1.6;3;5;8;86
26/02/2015;2.5;200;17.6;50;991;175;0;2;7;9;76
27/02/2015;1.8;142;16.9;38;990;171;0;2;5;7;80
28/02/2015;1.3;261;13.2;54;995;195;0;2;4;6;91
01/03/2015;0.7;259;18;53;995;180;0;3;7;10;70
02/03/2015;1.1;273;21.2;50;994;194;0;4;11;16;64
03/03/2015;0.8;238;17.4;67;996;187;0;3;12;16;49
04/03/2015;2.3;351;14.5;77;998;149;0;2;5;7;64
05/03/2015;2.3;182;14.2;22;1002;220;0;2;6;8;93
06/03/2015;1.2;266;12.8;34;1004;217;0;2;7;9;87
07/03/2015;1.2;278;13.6;50;1000;216;0;3;6;9;86
08/03/2015;1.3;139;14.2;60;997;137;0;2;5;8;96
09/03/2015;1.4;260;13.3;77;997;204;0;2;6;9;93
10/03/2015;1.1;239;14.1;77;998;206;0;3;8;11;93
11/03/2015;0.7;280;17;59;996;216;0;2;14;15;95
12/03/2015;0.8;278;18.2;49;992;221;0;2;15;17;103
13/03/2015;1.4;341;15;65;993;211;0;2;5;8;101
14/03/2015;1.6;36;11;75;993;108;8.6;3;6;10;78
15/03/2015;0.9;267;11.1;65;990;161;1.6;4;6;11;82
16/03/2015;0.8;322;10.7;71;991;149;5.6;3;6;9;77
17/03/2015;2;68;11;68;993;210;0;2;5;7;89
18/03/2015;4.9;58;13.3;75;989;45;4.2;2;4;6;98
19/03/2015;9.8;49;14.8;80;984;102;0.3;2;4;6;99
20/03/2015;9.1;43;15;81;980;144;1.5;2;4;6;98
21/03/2015;1.5;241;14.8;83;980;197;0;2;6;8;86
22/03/2015;1;251;13.9;89;982;116;1.5;2;5;7;87
23/03/2015;1.5;86;13.6;;981;45;3.6;2;4;6;88
24/03/2015;1.4;200;14.2;;975;177;5.3;2;6;7;79
25/03/2015;1.4;228;11.9;75;978;80;1.2;2;5;7;77
26/03/2015;2.9;261;12.1;49;987;245;0.2;2;4;7;85
27/03/2015;1.5;242;18.8;51;993;256;0;3;7;10;72
28/03/2015;1.7;259;19.4;55;996;258;0;3;7;10;72
29/03/2015;1.2;273;19.7;52;995;222;0;3;6;10;78
30/03/2015;0.9;262;24.2;38;995;192;0;3;12;16;83
31/03/2015;1.4;229;23.8;42;996;262;0;2;6;9;91
01/04/2015;1.5;105;17.8;59;998;260;0;2;6;8;83
02/04/2015;1.8;242;15.3;79;997;253;0;2;5;7;79
03/04/2015;1.3;249;15.8;81;991;247;0;3;6;8;70
04/04/2015;1.4;111;15.3;82;986;213;0;2;7;9;73
05/04/2015;1.5;182;15.6;76;985;247;0;3;6;10;77
06/04/2015;3.3;80;14.8;72;991;176;0;2;4;6;94
07/04/2015;4.9;63;14.5;62;998;163;0;2;4;6;104
08/04/2015;4.6;85;14;60;1000;261;0;3;4;7;110
09/04/2015;5.7;53;14.7;61;998;226;0;4;4;8;112
10/04/2015;1.9;70;15.9;63;995;234;0;3;7;11;105
11/04/2015;1.5;131;15.8;62;996;86;0;2;5;7;103
12/04/2015;5.6;54;17.8;59;997;177;0;2;4;6;112
13/04/2015;5.4;56;20;41;999;196;0;2;4;6;114
14/04/2015;4.8;66;21.2;33;996;246;0;2;4;6;108
15/04/2015;4;307;18.1;61;990;95;0.8;2;6;7;101
16/04/2015;1.6;245;18;75;989;238;0;2;8;9;89
17/04/2015;1.2;258;20.1;55;990;273;0;3;11;13;87
18/04/2015;1.7;232;18.3;63;987;260;0;2;7;9;94
19/04/2015;1.3;220;18.5;55;988;266;0;2;6;8;91
20/04/2015;1.6;80;17.6;60;993;275;0;3;6;9;97
21/04/2015;4.1;50;17.8;58;995;212;0;2;4;6;106
22/04/2015;2.1;86;18.4;61;993;213;0;2;6;8;108
23/04/2015;0.9;237;18.7;76;990;248;0;2;10;11;90
24/04/2015;2.1;238;17.1;86;989;222;0;3;7;10;89
25/04/2015;1.3;229;19.4;;987;224;0;3;8;12;89
26/04/2015;2.1;252;19.9;70;981;227;5.3;2;6;8;82
27/04/2015;5;297;20.6;43;983;289;0;2;4;6;94
28/04/2015;1.5;231;19.2;53;990;287;0;3;10;13;87
29/04/2015;1.8;252;18.3;70;991;264;0;2;11;13;90
30/04/2015;1.3;203;18.4;81;992;254;0;2;7;9;97
01/05/2015;1.7;246;22.5;63;989;232;0;2;10;11;101
02/05/2015;1.4;241;25.7;48;987;302;0;2;8;10;88
03/05/2015;1;227;26.9;45;984;291;0;2;7;9;104
04/05/2015;1.2;238;25.1;51;981;203;0;2;12;14;100
05/05/2015;0.8;157;23.8;62;985;234;0;2;10;12;88
06/05/2015;1.6;237;23.3;52;989;311;0;2;6;8;97
07/05/2015;1;80;21.9;56;991;315;0;2;5;8;98
08/05/2015;1.9;246;23;58;991;316;0;2;8;10;99
09/05/2015;2.3;72;24.7;53;996;314;0;2;6;8;91
10/05/2015;1.2;65;22.9;45;997;308;0;2;6;8;101
11/05/2015;2.2;60;24;41;995;316;0;2;5;7;114
12/05/2015;1.2;249;23.4;40;996;323;0;3;10;13;100
13/05/2015;1.8;236;23;61;995;290;0;2;7;9;90
14/05/2015;2.4;255;30.8;32;986;296;0;;;;102
15/05/2015;3.5;132;21.6;58;990;319;0;2;4;6;98
16/05/2015;1.6;253;20.1;55;996;328;0;2;6;7;97
17/05/2015;1.5;250;20.9;56;994;330;0;2;7;8;103
18/05/2015;1.5;241;21;60;988;326;0;2;7;9;96
19/05/2015;4.1;36;21;67;983;158;1.1;2;5;7;91
20/05/2015;3.1;61;18.3;62;990;268;0;2;5;7;84
21/05/2015;2.2;44;17.8;56;995;290;0;2;6;8;89
22/05/2015;1.4;117;17.9;60;994;249;0;2;7;9;92
23/05/2015;1.3;246;18.6;66;990;297;0;2;6;8;95
24/05/2015;1;56;18.6;59;989;146;0;2;6;8;103
25/05/2015;2.2;65;21.8;50;989;325;0;2;7;9;110
26/05/2015;1.6;243;21.9;56;989;320;0;2;8;10;111
27/05/2015;1.4;197;21.1;70;991;322;0;2;5;7;114
28/05/2015;1.7;244;21;59;992;334;0;3;7;10;97
29/05/2015;1.4;79;20.7;56;988;259;0;2;7;9;104
30/05/2015;;;;;;;0;;;
01/06/2015;;;;;;;0;;;
02/06/2015;1.2;246;22.1;;993;269;0;2;6;9;83
03/06/2015;2.2;71;24.9;41;994;342;0;2;5;7;108
04/06/2015;3;73;26;37;993;343;0;2;4;6;108
05/06/2015;1.6;61;25.4;38;993;341;0;2;6;9;105
06/06/2015;1.5;62;25.6;37;994;346;0;2;7;10;99
07/06/2015;2.2;68;25.9;34;993;348;0;3;6;9;102
08/06/2015;1.4;41;26.9;34;990;337;0;3;7;10;109
09/06/2015;1.4;209;25.8;52;987;329;0;3;7;11;111
10/06/2015;2.7;75;26.1;53;986;329;0;2;5;7;118
11/06/2015;2.4;233;24;68;984;90;0.6;2;6;7;101
12/06/2015;1.6;241;23.8;73;984;271;1.1;2;6;8;89
13/06/2015;1.5;197;24;70;983;299;0;2;5;7;84
14/06/2015;2.2;249;23.5;57;985;271;0;2;5;7;97
15/06/2015;1.7;230;23.7;55;988;318;0;2;6;8;93
16/06/2015;1.5;245;21.3;69;992;171;11.1;2;5;7;93
17/06/2015;1.4;52;22.6;67;993;239;0;3;8;12;96
18/06/2015;1.8;253;23.3;63;;332;0;2;6;9;101
19/06/2015;2.3;252;24.4;58;;340;0;2;9;11;105
20/06/2015;1.6;225;24.5;63;;340;0;2;8;11;93
21/06/2015;2;240;25.3;55;;336;0;2;6;8;96
22/06/2015;1.5;228;27.1;49;;333;0;3;9;11;95
23/06/2015;2;226;27.7;52;;279;0;2;10;12;107
24/06/2015;2.2;82;25.5;63;;336;0;2;7;9;104
25/06/2015;2;241;25.5;53;;334;0;3;7;10;102
26/06/2015;2.4;247;26.4;56;;334;0;2;8;10;101
27/06/2015;2.5;242;29.4;41;;332;0;;;;105
28/06/2015;2;236;30.9;38;;335;0;;;;112
29/06/2015;1.4;242;29.9;38;;328;0;2;4;6;100
30/06/2015;1.2;88;30.5;36;;329;0;2;5;7;108
01/07/2015;2.2;65;31.6;35;;320;0;;;;114
02/07/2015;4.2;55;31.6;44;;259;0;2;4;6;116
03/07/2015;2.8;74;30.8;49;;321;0;2;4;6;110
04/07/2015;2.8;64;31.7;38;;323;0;2;4;6;114
05/07/2015;1.5;59;31.1;41;;325;0;2;4;6;110
06/07/2015;1.3;33;32.2;34;;324;0;2;4;6;101
07/07/2015;1.8;232;32.8;35;;322;0;2;4;6;101
08/07/2015;1.2;201;32;47;;313;0;2;4;6;93
09/07/2015;1.6;182;27;77;;253;0;2;4;6;83
10/07/2015;2.7;246;27.4;69;990;320;0;2;5;7;81
11/07/2015;1.2;59;26.7;72;992;198;0;2;5;7;79
12/07/2015;1.6;231;27.3;69;992;321;0;2;5;8;87
13/07/2015;2.1;242;27.6;78;992;316;0;3;7;10;76
14/07/2015;1.8;239;28.1;74;991;316;0;2;5;7;75
15/07/2015;1.4;249;29;52;990;317;0;4;7;12;89
16/07/2015;1.8;253;29.3;49;989;314;0;4;10;15;94
17/07/2015;1.4;252;28.9;61;991;298;0;3;7;11;83
18/07/2015;1.4;232;28.7;66;990;299;0;2;5;8;87
19/07/2015;1.5;238;27.6;80;988;226;0;2;5;7;73
20/07/2015;1.3;228;28.1;79;988;292;0;3;6;10;76
21/07/2015;2.4;244;29;72;988;304;0;2;4;6
22/07/2015;1.9;227;28.8;79;988;255;0;2;4;6
23/07/2015;1.7;227;29.1;70;988;296;0;2;6;8
24/07/2015;2.7;242;29;76;984;283;0;2;6;8
25/07/2015;3;69;29.8;65;986;294;0;2;4;6
26/07/2015;2;191;27.9;82;988;131;0;2;4;6
27/07/2015;1.1;211;30.3;74;985;309;0;3;9;12
28/07/2015;1.5;193;28.5;;986;142;0;2;5;7
29/07/2015;1.7;222;28.8;;984;276;0;2;5;7
30/07/2015;1.8;93;28.5;81;984;179;0;2;5;7;63
31/07/2015;1.8;118;27.4;;983;99;0;2;4;6;65
01/08/2015;4.6;49;27.4;68;986;303;0;2;4;6;90
02/08/2015;2;80;27.8;70;;251;0;2;4;6;93
03/08/2015;1.5;266;30.2;48;;284;0;2;5;8;85
04/08/2015;1.4;120;29.4;58;;283;0;2;6;8;91
05/08/2015;1.2;192;28.5;75;;248;0;2;7;9;85
06/08/2015;1.1;155;29.2;78;;228;0;2;4;6;74
07/08/2015;1.3;201;30.2;74;;219;0;2;5;7;67
08/08/2015;2.3;60;30.5;59;990;149;0;2;4;6;82
09/08/2015;2.3;83;27.7;75;991;218;0;2;4;6;79
10/08/2015;1.9;214;28.7;;988;231;0;2;5;7;79
11/08/2015;1.2;186;28.2;;987;165;0;2;6;7;73
12/08/2015;1.3;181;28.9;;989;270;0;2;7;8;77
13/08/2015;1.5;254;31.3;44;987;293;0;4;7;11;76
14/08/2015;1.3;148;28.1;52;;208;0;3;5;8;82
15/08/2015;2.1;36;25.6;66;;140;1;2;4;6;81
16/08/2015;1.7;241;26;71;;230;0;2;6;8;82
17/08/2015;1.2;256;26.9;77;;180;1;2;7;9;81
18/08/2015;1.7;58;27;;;184;0;2;5;8;75
19/08/2015;1.5;78;27;77;;196;0.7;2;4;6;77
20/08/2015;1;250;26.7;77;;207;2.3;2;6;8;71
21/08/2015;1.2;244;27;68;;270;0;3;7;9;84
22/08/2015;1.1;119;27;64;;260;0;2;6;8;73
23/08/2015;1.2;258;28.1;;;271;0;2;7;8;70
24/08/2015;1.6;237;28;54;;289;0;2;7;8;72
25/08/2015;1.3;77;27.3;64;;280;0;3;7;10;78
26/08/2015;0.8;97;27.2;71;;276;0;2;5;7;77
27/08/2015;1;254;27;70;;259;0;2;7;10;71
28/08/2015;0.7;63;27.3;67;;257;0;3;10;13;71
29/08/2015;2;80;27.7;68;;278;0;2;6;7;78
30/08/2015;1.9;80;28.5;71;;238;0;2;4;6;82
31/08/2015;1.4;221;27.7;;988;196;2.2;2;4;6;69
