Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2;TOL
1/08/15;0.0;0.15;3.7;20.0;25.0;70.0;11.0;1.0;0.0
2/08/15;0.0;0.13;4.0;19.0;25.0;48.0;13.0;1.1;0.0
3/08/15;0.0;0.15;7.3;19.0;31.0;38.0;13.0;1.0;0.0
4/08/15;0.0;0.14;6.2;18.0;28.0;48.0;11.0;1.0;0.0
5/08/15;0.0;0.18;6.4;16.0;26.0;41.0;8.3;1.0;0.0
6/08/15;0.0;0.13;4.5;8.5;16.0;36.0;12.0;1.0;0.0
7/08/15;0.0;0.14;2.5;4.7;8.3;53.0;11.0;1.1;0.0
8/08/15;0.0;0.13;2.0;3.0;5.9;66.0;9.9;1.0;0.0
9/08/15;0.0;0.14;2.2;6.6;10.0;71.0;13.0;1.5;0.0
10/08/15;0.0;0.17;3.1;11.0;16.0;75.0;34.0;1.5;0.0
11/08/15;0.0;0.19;4.0;9.4;15.0;60.0;24.0;1.0;0.0
12/08/15;0.0;0.14;3.3;7.6;13.0;56.0;21.0;1.0;0.0
13/08/15;0.0;0.14;3.3;7.5;12.0;53.0;12.0;1.0;0.0
14/08/15;0.0;0.17;4.5;8.4;15.0;40.0;8.2;1.0;0.0
15/08/15;0.0;0.16;3.5;6.2;11.0;38.0;5.8;1.0;0.0
16/08/15;0.0;0.16;3.2;5.5;10.0;40.0;5.6;1.0;0.0
17/08/15;0.0;0.16;5.0;6.4;14.0;40.0;7.7;1.0;0.0
18/08/15;0.0;0.19;2.6;5.1;9.2;55.0;9.0;1.1;0.0
19/08/15;0.0;0.22;3.1;6.8;11.0;65.0;13.0;1.5;0.0
20/08/15;0.0;0.17;5.2;11.0;19.0;59.0;14.0;1.8;0.0
21/08/15;0.0;0.19;4.8;9.1;16.0;75.0;17.0;1.0;0.0
22/08/15;0.0;0.17;3.8;6.8;13.0;null(null);6.8;1.0;0.0
23/08/15;0.0;0.15;2.0;2.9;5.9;null(null);11.0;1.0;0.0
24/08/15;0.0;0.12;5.0;6.3;14.0;null(null);14.0;1.0;0.0
25/08/15;0.0;0.19;2.7;4.5;8.9;34.0;7.8;1.0;0.0
26/08/15;0.0;0.19;2.5;3.8;7.8;29.0;6.4;1.0;0.0
27/08/15;0.0;0.24;1.9;1.8;4.5;26.0;7.5;1.0;0.0
28/08/15;0.0;0.16;4.2;5.4;12.0;12.0;8.9;1.0;0.0
29/08/15;0.0;0.16;3.7;4.5;9.9;13.0;7.0;1.0;0.0
30/08/15;0.0;0.15;2.9;4.3;8.4;30.0;9.3;1.0;0.0
31/08/15;0.0;0.16;3.1;6.8;11.0;33.0;9.8;1.0;0.0
1/09/15;0.0;0.14;2.3;3.8;7.5;41.0;9.3;1.0;0.0
2/09/15;0.0;0.16;3.0;4.4;8.9;47.0;10.0;1.0;0.0
3/09/15;0.0;0.15;2.1;3.0;6.2;56.0;8.5;1.0;0.0
4/09/15;0.0;0.11;2.3;4.0;7.6;56.0;6.6;1.0;0.0
5/09/15;0.0;0.13;2.1;3.8;6.9;53.0;11.0;1.0;0.0
6/09/15;0.0;0.14;3.3;9.8;15.0;46.0;11.0;1.0;0.0
7/09/15;0.0;0.14;5.9;15.0;24.0;32.0;13.0;1.0;0.0
8/09/15;0.0;0.13;4.2;11.0;18.0;34.0;16.0;1.0;0.0
9/09/15;0.0;0.14;4.0;10.0;16.0;25.0;14.0;1.0;0.0
10/09/15;0.0;0.15;4.7;9.0;16.0;20.0;10.0;1.0;0.0
11/09/15;0.0;0.16;5.9;9.7;18.0;19.0;13.0;1.0;0.0
12/09/15;0.0;0.14;2.5;5.5;9.3;30.0;9.2;1.0;0.0
13/09/15;0.0;0.18;1.9;3.0;6.0;43.0;11.0;1.0;0.0
14/09/15;0.0;0.13;4.5;7.3;14.0;39.0;14.0;1.0;0.0
15/09/15;0.0;0.16;2.0;2.8;5.6;37.0;3.7;1.0;0.0
16/09/15;0.0;0.15;3.3;5.5;10.0;42.0;19.0;1.0;0.0
17/09/15;0.0;0.13;5.5;9.2;18.0;25.0;10.0;1.0;0.0
18/09/15;0.0;0.16;4.8;6.5;14.0;31.0;7.3;1.0;0.0
19/09/15;0.0;0.13;6.1;10.0;19.0;27.0;9.5;1.0;0.0
20/09/15;0.0;0.14;3.0;8.4;13.0;32.0;8.4;1.0;0.0
21/09/15;0.0;0.13;7.8;9.5;21.0;32.0;11.0;1.1;0.0
22/09/15;0.0;0.15;3.3;8.6;14.0;34.0;11.0;1.0;0.0
23/09/15;0.0;0.13;6.4;13.0;23.0;33.0;13.0;1.1;0.0
24/09/15;0.0;0.1;18.0;31.0;59.0;23.0;14.0;1.2;0.0
25/09/15;0.0;0.1;16.0;37.0;61.0;33.0;23.0;1.3;0.0
26/09/15;0.0;0.1;12.0;24.0;42.0;34.0;21.0;1.1;0.0
27/09/15;0.0;0.1;4.8;20.0;27.0;28.0;15.0;1.1;0.0
28/09/15;0.0;0.1;18.0;35.0;63.0;21.0;14.0;1.2;0.0
29/09/15;0.0;0.1;16.0;41.0;65.0;32.0;15.0;1.1;0.0
30/09/15;0.0;0.1;8.5;29.0;42.0;41.0;19.0;1.0;0.0
1/10/15;0.0;0.1;21.0;34.0;66.0;35.0;26.0;1.2;0.0
2/10/15;0.0;0.1;19.0;35.0;64.0;32.0;17.0;2.2;0.0
3/10/15;0.0;0.1;8.3;31.0;44.0;27.0;18.0;1.0;0.0
4/10/15;0.0;0.1;2.6;5.3;8.9;44.0;11.0;1.0;0.0
5/10/15;0.0;0.1;2.7;5.0;8.9;51.0;14.0;1.0;0.0
6/10/15;0.0;0.1;9.1;24.0;38.0;37.0;19.0;1.0;0.0
7/10/15;0.0;0.1;19.0;26.0;55.0;20.0;14.0;1.0;0.0
15/10/15;null(null);0.12;21.0;36.0;68.0;24.0;20.0;1.2;null(null)
16/10/15;null(null);0.16;36.0;42.0;98.0;9.4;33.0;1.5;null(null)
17/10/15;null(null);0.1;7.7;20.0;32.0;37.0;13.0;1.0;null(null)
18/10/15;null(null);0.1;13.0;23.0;43.0;20.0;11.0;1.0;null(null)
19/10/15;null(null);0.1;15.0;17.0;39.0;26.0;4.4;1.1;null(null)
20/10/15;null(null);0.1;3.9;10.0;16.0;58.0;9.9;1.0;null(null)
21/10/15;null(null);0.1;9.1;22.0;36.0;42.0;10.0;1.0;null(null)
22/10/15;null(null);0.13;31.0;37.0;85.0;25.0;20.0;2.2;null(null)
23/10/15;null(null);0.1;16.0;28.0;53.0;36.0;18.0;1.0;null(null)
24/10/15;null(null);0.1;4.1;16.0;22.0;49.0;18.0;1.0;null(null)
25/10/15;null(null);0.1;5.2;15.0;23.0;43.0;11.0;1.0;null(null)
26/10/15;null(null);0.1;6.0;21.0;30.0;44.0;8.0;1.0;null(null)
27/10/15;null(null);0.1;5.5;16.0;25.0;48.0;6.4;1.0;null(null)
28/10/15;null(null);0.1;10.0;20.0;36.0;47.0;10.0;1.1;null(null)
29/10/15;null(null);0.1;4.0;12.0;18.0;47.0;5.0;1.0;null(null)
30/10/15;0.0;0.21;27.0;31.0;73.0;35.0;17.0;1.5;0.0
31/10/15;0.0;0.15;8.4;21.0;34.0;46.0;17.0;1.0;0.0
1/05/15;null(null);0.13;3.3;9.4;15.0;43.0;2.0;1.0;null(null)
2/05/15;null(null);0.14;3.8;7.3;13.0;44.0;2.5;1.0;null(null)
3/05/15;null(null);0.15;2.8;8.1;12.0;55.0;1.5;1.0;null(null)
4/05/15;null(null);0.16;4.1;10.0;16.0;55.0;3.8;1.0;null(null)
5/05/15;null(null);0.14;6.0;18.0;27.0;72.0;3.5;1.0;null(null)
6/05/15;null(null);0.14;7.8;22.0;34.0;51.0;5.0;2.8;null(null)
7/05/15;null(null);0.13;8.8;20.0;33.0;51.0;6.3;1.1;null(null)
8/05/15;null(null);0.18;4.9;14.0;21.0;66.0;3.7;1.0;null(null)
9/05/15;null(null);0.13;5.0;14.0;22.0;52.0;3.6;1.1;null(null)
10/05/15;null(null);0.14;3.0;14.0;18.0;51.0;7.0;1.0;null(null)
11/05/15;null(null);0.16;8.6;22.0;35.0;43.0;11.0;1.7;null(null)
12/05/15;null(null);0.13;8.8;22.0;36.0;61.0;14.0;1.7;null(null)
13/05/15;null(null);0.13;6.0;17.0;26.0;61.0;12.0;1.0;null(null)
14/05/15;null(null);0.13;3.9;12.0;18.0;72.0;4.8;1.0;null(null)
15/05/15;null(null);0.14;6.4;15.0;24.0;64.0;11.0;1.5;null(null)
16/05/15;null(null);0.13;2.7;6.5;11.0;62.0;6.8;1.0;null(null)
17/05/15;null(null);0.14;2.6;6.9;11.0;56.0;7.9;1.0;null(null)
18/05/15;null(null);0.14;3.8;8.6;14.0;60.0;13.0;1.8;null(null)
19/05/15;null(null);0.14;2.9;8.7;13.0;81.0;14.0;1.2;null(null)
20/05/15;null(null);0.14;3.9;13.0;19.0;73.0;15.0;1.1;null(null)
21/05/15;null(null);0.13;4.3;10.0;17.0;80.0;12.0;1.0;null(null)
22/05/15;null(null);0.11;3.3;8.5;14.0;88.0;12.0;1.0;null(null)
23/05/15;null(null);0.13;2.5;5.4;9.0;77.0;9.4;1.0;null(null)
24/05/15;null(null);0.14;2.0;4.1;7.2;63.0;6.5;1.0;null(null)
25/05/15;null(null);0.14;3.9;8.8;15.0;56.0;11.0;1.0;null(null)
26/05/15;null(null);0.13;3.7;8.7;14.0;62.0;9.1;1.0;null(null)
27/05/15;null(null);0.15;3.8;11.0;17.0;70.0;16.0;1.0;null(null)
28/05/15;null(null);0.16;4.0;14.0;20.0;71.0;24.0;2.9;null(null)
29/05/15;null(null);0.12;3.2;13.0;18.0;79.0;16.0;2.5;null(null)
30/05/15;null(null);0.12;5.3;11.0;19.0;48.0;11.0;1.3;null(null)
31/05/15;null(null);0.14;3.9;11.0;17.0;33.0;9.1;1.0;null(null)
1/07/15;null(null);0.14;6.0;14.0;23.0;61.0;12.0;1.0;null(null)
2/07/15;null(null);0.11;8.6;18.0;31.0;57.0;14.0;1.3;null(null)
3/07/15;null(null);0.16;7.8;16.0;28.0;64.0;9.9;1.0;null(null)
4/07/15;null(null);0.14;5.5;16.0;24.0;70.0;12.0;1.0;null(null)
5/07/15;null(null);0.12;3.5;14.0;19.0;null(null);16.0;1.4;null(null)
6/07/15;null(null);0.16;6.8;17.0;27.0;null(null);16.0;1.3;null(null)
7/07/15;null(null);0.13;8.2;17.0;29.0;null(null);13.0;1.2;null(null)
8/07/15;null(null);0.14;3.7;8.9;14.0;null(null);15.0;1.0;null(null)
9/07/15;null(null);0.17;6.1;23.0;32.0;null(null);23.0;1.8;null(null)
10/07/15;null(null);0.12;5.3;19.0;27.0;null(null);26.0;1.3;null(null)
11/07/15;null(null);0.16;3.4;12.0;17.0;39.0;13.0;1.3;null(null)
12/07/15;null(null);0.17;2.5;8.8;13.0;51.0;14.0;1.2;null(null)
13/07/15;null(null);0.22;4.3;14.0;21.0;53.0;18.0;1.3;null(null)
14/07/15;null(null);0.16;4.7;15.0;22.0;54.0;17.0;2.5;null(null)
15/07/15;null(null);0.18;6.1;18.0;28.0;53.0;19.0;1.0;null(null)
16/07/15;null(null);0.18;8.5;17.0;30.0;39.0;14.0;1.2;null(null)
17/07/15;null(null);0.19;10.0;19.0;35.0;28.0;7.3;1.0;null(null)
18/07/15;null(null);0.16;5.6;16.0;25.0;33.0;5.8;1.0;null(null)
19/07/15;null(null);0.22;3.3;9.1;14.0;40.0;8.4;1.0;null(null)
20/07/15;null(null);0.17;9.4;13.0;27.0;20.0;6.6;1.0;null(null)
21/07/15;0.0;0.16;11.0;13.0;30.0;20.0;11.0;1.0;0.0
22/07/15;0.0;0.12;4.6;16.0;23.0;43.0;15.0;1.2;0.0
23/07/15;0.0;0.17;11.0;22.0;38.0;37.0;13.0;1.0;0.0
24/07/15;0.0;0.15;5.2;12.0;20.0;39.0;8.9;1.0;0.0
25/07/15;0.0;0.17;2.6;11.0;15.0;58.0;14.0;1.0;0.0
26/07/15;0.0;0.19;4.5;15.0;22.0;26.0;7.0;1.0;0.0
27/07/15;0.0;0.15;5.2;14.0;22.0;36.0;12.0;1.0;0.0
28/07/15;0.0;0.19;8.1;18.0;30.0;22.0;7.8;1.0;0.0
29/07/15;0.0;0.17;8.7;16.0;29.0;27.0;5.9;1.0;0.0
30/07/15;0.0;0.13;5.0;14.0;22.0;37.0;6.3;1.0;0.0
31/07/15;0.0;0.15;4.0;11.0;17.0;58.0;9.3;1.0;0.0
1/06/15;null(null);0.17;6.0;16.0;25.0;54.0;11.0;1.3;null(null)
2/06/15;null(null);0.15;7.8;19.0;31.0;46.0;14.0;1.7;null(null)
3/06/15;null(null);0.17;12.0;23.0;41.0;44.0;23.0;1.5;null(null)
4/06/15;null(null);0.18;9.3;21.0;35.0;41.0;24.0;1.7;null(null)
5/06/15;null(null);0.17;4.0;12.0;18.0;56.0;23.0;3.1;null(null)
6/06/15;null(null);0.15;2.6;6.9;11.0;66.0;10.0;1.0;null(null)
7/06/15;null(null);0.12;3.2;18.0;23.0;73.0;17.0;2.0;null(null)
8/06/15;null(null);0.17;6.0;25.0;33.0;68.0;24.0;1.1;null(null)
9/06/15;null(null);0.15;4.3;13.0;19.0;72.0;19.0;1.0;null(null)
10/06/15;null(null);0.13;2.7;9.1;13.0;95.0;19.0;1.1;null(null)
11/06/15;null(null);0.18;6.0;18.0;27.0;83.0;24.0;1.1;null(null)
12/06/15;null(null);0.14;5.1;15.0;24.0;84.0;18.0;1.0;null(null)
13/06/15;null(null);0.13;3.0;9.9;15.0;68.0;12.0;1.0;null(null)
14/06/15;null(null);0.16;3.2;13.0;18.0;58.0;6.3;1.0;null(null)
15/06/15;null(null);0.13;9.1;15.0;29.0;64.0;14.0;1.7;null(null)
16/06/15;null(null);0.13;3.7;12.0;17.0;71.0;15.0;2.0;null(null)
17/06/15;null(null);0.13;4.2;11.0;17.0;79.0;14.0;1.0;null(null)
18/06/15;null(null);0.14;3.8;13.0;19.0;79.0;14.0;1.0;null(null)
19/06/15;null(null);0.12;4.4;11.0;18.0;63.0;14.0;1.0;null(null)
20/06/15;null(null);0.17;4.9;22.0;29.0;63.0;18.0;1.7;null(null)
21/06/15;null(null);0.12;2.8;20.0;24.0;80.0;16.0;1.2;null(null)
22/06/15;null(null);0.14;5.2;22.0;29.0;61.0;26.0;1.0;null(null)
23/06/15;null(null);0.14;5.9;18.0;27.0;59.0;23.0;1.1;null(null)
24/06/15;null(null);0.13;5.4;19.0;27.0;59.0;33.0;1.3;null(null)
25/06/15;null(null);0.13;6.7;null(null);28.0;48.0;17.0;1.1;null(null)
26/06/15;null(null);0.12;5.4;15.0;23.0;60.0;17.0;1.0;null(null)
27/06/15;null(null);0.13;6.2;13.0;23.0;46.0;13.0;1.0;null(null)
28/06/15;null(null);0.13;2.8;10.0;15.0;63.0;18.0;1.3;null(null)
29/06/15;null(null);0.16;6.1;22.0;32.0;72.0;19.0;1.0;null(null)
30/06/15;null(null);0.18;5.9;16.0;25.0;68.0;21.0;1.0;null(null)
20/04/15;null(null);0.17;10.0;26.0;41.0;36.0;12.0;1.0;null(null)
21/04/15;null(null);0.19;17.0;26.0;51.0;39.0;16.0;1.3;null(null)
22/04/15;null(null);0.16;8.3;27.0;40.0;37.0;12.0;1.0;null(null)
23/04/15;null(null);0.18;8.2;18.0;31.0;43.0;6.4;1.0;null(null)
24/04/15;null(null);0.17;7.5;22.0;34.0;39.0;6.8;1.0;null(null)
25/04/15;null(null);0.2;2.5;8.0;12.0;63.0;4.4;1.0;null(null)
26/04/15;null(null);0.2;3.3;10.0;15.0;68.0;5.0;1.6;null(null)
27/04/15;null(null);0.17;9.1;23.0;37.0;43.0;5.4;1.0;null(null)
28/04/15;null(null);0.14;16.0;23.0;48.0;40.0;7.4;1.8;null(null)
29/04/15;null(null);0.12;7.5;17.0;28.0;48.0;6.4;1.2;null(null)
30/04/15;null(null);0.15;4.7;14.0;21.0;49.0;2.9;1.0;null(null)
