Fecha;CO;NH3;NO;NO2;PM10;PM25;SO2
01/10/2015;1.19;7;21;93;39;18;6
30/09/2015;0.66;5;36;89;41;19;6
29/09/2015;0.81;5;35;61;42;21;7
28/09/2015;0.42;5;20;91;30;15;5
27/09/2015;1.12;6;13;71;25;13;4
26/09/2015;0.61;6;14;65;22;12;7
25/09/2015;0.72;5;26;62;27;13;6
24/09/2015;0.43;4;26;66;;11;4
23/09/2015;0.29;3;10;62;;5;3
22/09/2015;0.19;4;5;32;12;5;4
21/09/2015;0.7;4;33;70;25;14;5
20/09/2015;0.41;4;7;79;13;7;5
19/09/2015;0.36;4;11;68;16;7;6
18/09/2015;0.23;3;16;65;13;6;6
17/09/2015;0.19;3;5;47;9;4;5
16/09/2015;0.17;5;3;27;10;3;3
15/09/2015;0.22;4;20;74;18;8;5
14/09/2015;0.17;5;6;66;17;6;5
13/09/2015;0.83;5;6;35;9;6;5
12/09/2015;0.34;5;4;45;14;8;6
11/09/2015;1.17;5;23;63;26;14;8
10/09/2015;0.35;5;15;73;23;14;7
09/09/2015;0.47;4;20;80;38;16;9
08/09/2015;0.5;4;24;82;28;12;11
07/09/2015;0.41;4;25;77;21;10;7
06/09/2015;0.34;4;7;83;11;6;6
05/09/2015;0.26;3;7;82;8;4;6
04/09/2015;0.27;4;9;52;8;5;5
03/09/2015;0.35;4;8;68;13;7;6
02/09/2015;0.28;4;15;48;17;7;5
01/09/2015;0.22;4;6;56;9;6;5
31/08/2015;0.61;5;9;57;;10;5
30/08/2015;0.57;4;6;80;41;13;5
29/08/2015;0.28;4;8;33;22;12;7
28/08/2015;1.09;6;16;42;24;7;5
27/08/2015;0.83;4;12;60;17;6;5
26/08/2015;0.61;3;17;63;24;10;13
25/08/2015;0.36;3;10;54;10;5;7
24/08/2015;0.15;3;7;55;12;3;5
23/08/2015;0.23;4;4;19;;3;6
22/08/2015;0.45;4;5;29;23;15;5
21/08/2015;0.42;4;13;52;31;17;8
20/08/2015;0.27;3;10;49;23;10;11
19/08/2015;1.15;4;13;45;14;7;8
18/08/2015;0.5;3;12;75;17;7;6
17/08/2015;0.31;2;11;37;17;8;7
16/08/2015;0.26;2;5;35;13;5;6
15/08/2015;0.25;2;4;40;9;4;6
14/08/2015;0.19;3;4;22;15;5;10
13/08/2015;0.33;3;6;43;14;6;8
12/08/2015;0.75;3;15;59;;12;6
11/08/2015;0.86;4;16;50;31;13;6
10/08/2015;0.38;2;10;48;16;8;6
09/08/2015;0.2;2;3;33;11;5;7
08/08/2015;0.17;3;4;23;9;3;6
07/08/2015;0.26;3;6;51;9;5;5
06/08/2015;0.74;4;15;54;26;11;6
05/08/2015;0.32;3;10;39;18;9;7
04/08/2015;0.21;3;6;41;11;5;6
03/08/2015;0.43;4;11;66;19;8;7
02/08/2015;0.24;4;3;34;15;8;7
01/08/2015;0.17;3;4;37;10;6;8
31/07/2015;0.25;3;4;45;15;5;7
30/07/2015;0.31;3;10;59;11;7;7
29/07/2015;0.38;3;11;56;;8;7
28/07/2015;0.33;3;12;55;20;8;7
27/07/2015;0.23;3;7;50;15;;7
26/07/2015;0.24;3;4;34;18;7;8
25/07/2015;0.19;3;3;49;11;5;8
24/07/2015;0.45;3;19;62;28;12;8
23/07/2015;0.35;3;13;47;15;;7
22/07/2015;0.25;3;7;38;;6;6
21/07/2015;0.48;4;13;50;33;;6
20/07/2015;0.41;3;16;65;29;;12
19/07/2015;0.36;4;8;41;35;;7
18/07/2015;0.33;4;7;40;25;12;8
17/07/2015;0.48;4;16;54;35;22;7
16/07/2015;0.29;4;6;48;19;12;6
15/07/2015;0.2;4;11;61;30;12;6
14/07/2015;0.18;3;10;51;17;9;11
13/07/2015;0.45;3;19;49;26;15;7
12/07/2015;0.28;3;3;44;;4;6
11/07/2015;0.21;3;4;26;18;6;6
10/07/2015;0.3;3;10;52;28;14;9
09/07/2015;0.25;3;11;72;16;8;7
08/07/2015;0.19;4;6;45;;5;6
07/07/2015;0.28;4;10;52;;12;7
06/07/2015;0.47;3;10;57;32;;6
05/07/2015;0.24;3;4;17;;4;5
04/07/2015;0.58;4;6;37;37;11;9
03/07/2015;0.57;3;14;48;;17;6
02/07/2015;0.33;3;6;34;;6;5
01/07/2015;0.35;3;6;48;32;19;6
30/06/2015;0.82;3;11;77;;24;6
29/06/2015;0.38;3;9;64;26;11;6
28/06/2015;0.27;2;5;31;14;9;7
27/06/2015;0.25;3;5;45;24;20;8
26/06/2015;0.7;4;11;64;41;23;9
25/06/2015;0.34;3;12;53;32;15;9
24/06/2015;0.39;3;10;50;21;13;10
23/06/2015;0.37;4;13;41;;;7
22/06/2015;0.65;4;15;54;27;11;7
21/06/2015;0.56;3;7;51;24;12;9
20/06/2015;0.71;3;9;57;22;12;8
19/06/2015;0.29;3;10;59;23;11;10
18/06/2015;0.29;3;13;64;20;12;8
17/06/2015;0.21;2;5;48;19;9;13
16/06/2015;0.19;3;5;38;10;7;7
15/06/2015;0.21;3;7;63;15;7;6
14/06/2015;0.52;3;4;36;9;5;7
13/06/2015;0.42;4;4;41;11;8;6
12/06/2015;0.56;5;12;78;24;12;6
11/06/2015;0.61;6;8;78;19;10;6
10/06/2015;0.55;4;18;82;29;17;6
09/06/2015;0.3;3;10;74;25;14;6
08/06/2015;0.32;3;7;52;22;15;7
07/06/2015;0.36;3;3;22;16;8;5
06/06/2015;0.19;3;3;24;18;6;6
05/06/2015;0.55;4;12;84;30;16;7
04/06/2015;0.85;3;16;82;39;17;7
03/06/2015;0.3;2;6;60;15;10;6
02/06/2015;0.27;2;11;50;18;12;7
01/06/2015;0.43;3;10;50;15;10;7
31/05/2015;0.31;3;6;44;23;17;8
30/05/2015;0.31;3;9;47;19;14;9
29/05/2015;0.22;3;5;56;8;;6
28/05/2015;0.24;2;12;62;18;13;7
27/05/2015;0.18;2;8;77;17;8;7
26/05/2015;0.16;2;5;42;15;9;6
25/05/2015;0.17;3;5;27;9;6;5
24/05/2015;0.15;3;3;30;7;4;6
23/05/2015;0.71;4;7;54;17;9;6
22/05/2015;0.35;3;10;91;16;9;7
21/05/2015;0.23;2;11;84;13;7;7
20/05/2015;0.19;2;6;67;13;7;6
19/05/2015;0.17;3;5;47;12;5;6
18/05/2015;0.4;2;18;45;15;10;7
17/05/2015;0.18;3;3;48;9;5;5
16/05/2015;0.19;3;3;28;11;4;6
15/05/2015;0.2;3;6;34;12;6;7
14/05/2015;0.17;3;6;37;17;8;7
13/05/2015;0.6;3;9;51;27;18;7
12/05/2015;0.27;3;8;54;33;20;11
11/05/2015;0.31;4;6;38;27;11;6
10/05/2015;0.37;4;6;37;20;12;8
09/05/2015;0.94;5;6;52;17;8;6
08/05/2015;0.64;4;14;119;19;8;8
07/05/2015;0.32;3;14;72;24;10;10
06/05/2015;0.24;3;13;73;14;6;7
05/05/2015;0.26;3;7;69;13;4;6
04/05/2015;0.53;4;21;72;13;;6
03/05/2015;0.3;4;4;37;13;5;6
02/05/2015;0.43;4;8;42;12;4;6
01/05/2015;0.24;4;3;12;7;3;6
30/04/2015;0.34;4;9;80;20;12;10
29/04/2015;0.37;4;28;69;22;12;10
28/04/2015;0.28;3;18;83;15;8;6
27/04/2015;0.19;4;6;46;8;5;7
26/04/2015;0.37;5;4;29;7;4;6
25/04/2015;0.94;6;7;41;;10;7
24/04/2015;0.86;7;26;73;37;19;8
23/04/2015;0.31;5;15;69;16;10;8
22/04/2015;0.43;7;8;83;18;9;7
21/04/2015;0.57;5;29;79;35;19;11
20/04/2015;0.31;5;19;67;24;14;12
19/04/2015;0.57;5;5;62;11;7;7
18/04/2015;0.43;7;6;58;15;11;7
17/04/2015;0.65;8;24;69;31;20;6
16/04/2015;0.33;8;23;90;33;14;8
15/04/2015;0.23;5;6;79;24;9;5
14/04/2015;0.53;6;11;110;32;12;8
13/04/2015;0.5;7;9;92;35;13;8
12/04/2015;0.44;6;10;86;23;13;9
11/04/2015;0.51;6;9;82;12;9;5
10/04/2015;0.37;6;8;83;16;9;5
09/04/2015;0.25;6;6;77;17;8;5
08/04/2015;0.3;4;5;63;11;7;5
07/04/2015;1.15;5;31;112;23;14;8
06/04/2015;0.59;5;10;83;14;11;6
05/04/2015;0.29;3;4;58;7;6;5
04/04/2015;0.19;3;3;45;7;2;5
03/04/2015;0.58;4;8;49;16;9;10
02/04/2015;0.41;3;8;51;21;9;8
01/04/2015;0.19;3;6;86;24;8;4
31/03/2015;0.19;4;6;47;20;8;5
30/03/2015;1.29;5;10;62;22;8;8
29/03/2015;0.95;4;10;84;20;11;8
28/03/2015;0.41;3;9;79;16;9;6
27/03/2015;0.23;4;13;93;14;8;8
26/03/2015;0.26;4;12;84;19;12;7
25/03/2015;0.18;4;5;43;11;6;5
24/03/2015;0.33;5;18;87;12;8;5
23/03/2015;0.44;5;28;92;11;9;5
22/03/2015;0.29;6;2;31;11;8;4
21/03/2015;0.35;7;6;56;18;13;5
20/03/2015;0.32;7;6;76;35;22;4
19/03/2015;0.45;7;12;58;19;14;6
18/03/2015;0.36;9;26;104;26;14;10
17/03/2015;0.37;7;12;114;18;12;6
16/03/2015;0.41;6;30;101;28;21;6
15/03/2015;0.4;4;8;75;20;13;6
14/03/2015;0.29;3;3;37;15;9;6
13/03/2015;0.27;4;6;61;30;12;6
12/03/2015;0.58;6;22;67;45;30;7
11/03/2015;0.4;6;29;98;39;26;11
10/03/2015;0.44;5;32;88;32;18;13
09/03/2015;0.35;5;23;79;31;18;12
08/03/2015;1.29;8;18;64;40;22;11
07/03/2015;0.8;6;37;96;37;22;15
06/03/2015;0.75;6;56;103;44;22;9
05/03/2015;0.27;3;28;100;18;10;8
04/03/2015;0.16;3;6;44;8;5;4
03/03/2015;0.43;5;23;76;17;10;5
02/03/2015;0.56;5;24;76;12;8;4
01/03/2015;0.94;6;14;52;17;13;5
28/02/2015;0.66;3;26;82;17;10;5
27/02/2015;0.19;3;7;84;13;7;5
26/02/2015;0.3;7;6;54;7;6;5
25/02/2015;0.25;5;6;41;13;8;6
24/02/2015;0.22;5;5;46;10;5;7
23/02/2015;0.39;6;13;75;11;7;6
22/02/2015;0.3;6;5;73;10;5;5
21/02/2015;0.19;7;3;24;8;3;5
20/02/2015;0.63;9;15;86;16;11;9
19/02/2015;0.5;8;57;115;26;15;12
18/02/2015;0.31;6;28;106;19;12;13
17/02/2015;0.18;5;7;36;15;7;5
16/02/2015;0.21;6;8;74;11;6;7
15/02/2015;0.3;8;4;41;7;4;5
14/02/2015;0.21;6;4;22;4;2;5
13/02/2015;0.56;7;9;63;14;9;6
12/02/2015;0.43;6;11;80;17;12;6
11/02/2015;0.3;6;16;60;26;18;13
10/02/2015;0.31;6;23;73;28;17;11
09/02/2015;0.31;;;60;31;15;7
08/02/2015;0.52;;;29;21;16;9
07/02/2015;0.47;6;20;39;26;17;7
06/02/2015;0.42;14;21;61;16;11;6
05/02/2015;0.23;3;6;32;;;4
04/02/2015;0.3;3;6;42;10;8;5
03/02/2015;0.66;3;12;71;10;6;5
02/02/2015;0.25;2;8;58;4;4;5
01/02/2015;0.16;3;3;22;10;5;5
31/01/2015;0.26;4;2;29;9;4;7
30/01/2015;0.58;;;63;14;7;6
29/01/2015;0.38;4;11;51;13;7;8
28/01/2015;0.4;4;16;68;17;10;8
27/01/2015;0.29;5;6;53;16;8;6
26/01/2015;0.86;5;42;63;46;19;9
25/01/2015;0.7;5;11;55;25;13;5
24/01/2015;0.73;5;20;54;32;17;6
23/01/2015;0.63;4;35;76;27;18;6
22/01/2015;0.39;3;8;58;14;9;6
21/01/2015;0.29;4;5;47;10;6;6
20/01/2015;0.35;4;13;57;10;8;6
19/01/2015;0.28;5;4;47;8;5;5
18/01/2015;0.71;6;3;45;4;3;5
17/01/2015;0.71;6;7;69;13;7;7
16/01/2015;0.3;6;5;57;5;3;6
15/01/2015;0.29;7;6;81;9;5;5
14/01/2015;0.38;6;33;85;15;9;8
13/01/2015;0.2;8;5;46;9;9;5
12/01/2015;0.42;7;13;71;8;7;6
11/01/2015;0.41;8;9;62;17;9;8
10/01/2015;0.73;10;35;66;27;18;16
09/01/2015;0.68;9;73;94;34;19;14
08/01/2015;0.59;8;81;86;31;20;14
07/01/2015;0.51;8;58;79;30;20;17
06/01/2015;0.45;9;31;60;27;17;20
05/01/2015;0.45;7;54;89;22;15;13
04/01/2015;0.49;9;23;56;29;18;15
03/01/2015;1.19;9;53;82;34;20;16
02/01/2015;2.33;7;82;95;;20;15
01/01/2015;1.86;7;34;78;;23;10
