Fecha;PM25;PM10;BEN
01/01/2015;Sense dades;Sense dades;Sense dades
02/01/2015;Sense dades;Sense dades;Sense dades
03/01/2015;Sense dades;Sense dades;Sense dades
04/01/2015;19;Sense dades;Sense dades
05/01/2015;20;Sense dades;Sense dades
06/01/2015;20;Sense dades;Sense dades
07/01/2015;Sense dades;Sense dades;Sense dades
08/01/2015;18;Sense dades;Sense dades
09/01/2015;Sense dades;21;Sense dades
10/01/2015;14;Sense dades;Sense dades
11/01/2015;Sense dades;22;0.1
12/01/2015;16;Sense dades;Sense dades
13/01/2015;Sense dades;28;Sense dades
14/01/2015;17;Sense dades;Sense dades
15/01/2015;Sense dades;26;0.1
16/01/2015;22;Sense dades;Sense dades
17/01/2015;Sense dades;18;0.1
18/01/2015;10;Sense dades;Sense dades
19/01/2015;Sense dades;13;0.2
20/01/2015;12;Sense dades;Sense dades
21/01/2015;Sense dades;12;0.1
22/01/2015;17;Sense dades;Sense dades
23/01/2015;Sense dades;21;0.2
24/01/2015;13;Sense dades;Sense dades
25/01/2015;Sense dades;18;0.1
26/01/2015;14;Sense dades;Sense dades
27/01/2015;Sense dades;14;0.2
28/01/2015;15;Sense dades;Sense dades
29/01/2015;Sense dades;Sense dades;Sense dades
30/01/2015;8;Sense dades;Sense dades
31/01/2015;Sense dades;8;0
01/02/2015;8;Sense dades;Sense dades
02/02/2015;Sense dades;11;0.1
03/02/2015;10;Sense dades;Sense dades
04/02/2015;Sense dades;11;0.1
05/02/2015;13;Sense dades;Sense dades
06/02/2015;Sense dades;17;0.2
07/02/2015;22;Sense dades;Sense dades
08/02/2015;Sense dades;29;0.1
09/02/2015;27;Sense dades;Sense dades
10/02/2015;Sense dades;40;0.2
11/02/2015;20;Sense dades;Sense dades
12/02/2015;Sense dades;35;0.1
13/02/2015;26;Sense dades;Sense dades
14/02/2015;Sense dades;24;0.1
15/02/2015;10;Sense dades;Sense dades
16/02/2015;Sense dades;26;0.1
17/02/2015;17;Sense dades;Sense dades
18/02/2015;Sense dades;25;0.2
19/02/2015;21;Sense dades;Sense dades
20/02/2015;Sense dades;41;0
21/02/2015;16;Sense dades;Sense dades
22/02/2015;Sense dades;12;0.1
23/02/2015;14;Sense dades;Sense dades
24/02/2015;Sense dades;16;0
25/02/2015;11;Sense dades;Sense dades
26/02/2015;Sense dades;22;0.1
27/02/2015;14;Sense dades;Sense dades
28/02/2015;Sense dades;18;0.1
01/03/2015;17;Sense dades;Sense dades
02/03/2015;Sense dades;22;0
03/03/2015;12;Sense dades;Sense dades
04/03/2015;Sense dades;18;0.1
05/03/2015;14;Sense dades;Sense dades
06/03/2015;Sense dades;29;0.1
07/03/2015;18;Sense dades;Sense dades
08/03/2015;Sense dades;31;0.1
09/03/2015;Sense dades;Sense dades;Sense dades
10/03/2015;Sense dades;48;0.1
11/03/2015;Sense dades;Sense dades;Sense dades
12/03/2015;Sense dades;46;0
13/03/2015;Sense dades;Sense dades;Sense dades
14/03/2015;Sense dades;19;0
15/03/2015;16;Sense dades;Sense dades
16/03/2015;Sense dades;19;0.1
17/03/2015;14;Sense dades;Sense dades
18/03/2015;Sense dades;24;0
19/03/2015;21;Sense dades;Sense dades
20/03/2015;Sense dades;32;0
21/03/2015;18;Sense dades;Sense dades
22/03/2015;Sense dades;22;0
23/03/2015;15;Sense dades;Sense dades
24/03/2015;Sense dades;16;0
25/03/2015;10;Sense dades;Sense dades
26/03/2015;Sense dades;Sense dades;Sense dades
27/03/2015;19;Sense dades;Sense dades
28/03/2015;Sense dades;Sense dades;Sense dades
29/03/2015;22;Sense dades;Sense dades
30/03/2015;Sense dades;Sense dades;Sense dades
31/03/2015;20;Sense dades;Sense dades
01/04/2015;Sense dades;23;0
02/04/2015;19;Sense dades;Sense dades
03/04/2015;Sense dades;28;0
04/04/2015;15;Sense dades;Sense dades
05/04/2015;Sense dades;19;0
06/04/2015;Sense dades;Sense dades;Sense dades
07/04/2015;Sense dades;24;0
08/04/2015;18;Sense dades;Sense dades
09/04/2015;Sense dades;20;0
10/04/2015;12;Sense dades;Sense dades
11/04/2015;Sense dades;22;0
12/04/2015;14;Sense dades;Sense dades
13/04/2015;Sense dades;31;0.1
14/04/2015;21;Sense dades;Sense dades
15/04/2015;Sense dades;29;0
16/04/2015;16;Sense dades;Sense dades
17/04/2015;Sense dades;24;0
18/04/2015;14;Sense dades;Sense dades
19/04/2015;Sense dades;14;0
20/04/2015;8;Sense dades;Sense dades
21/04/2015;Sense dades;15;0
22/04/2015;11;Sense dades;Sense dades
23/04/2015;Sense dades;21;0
24/04/2015;16;Sense dades;Sense dades
25/04/2015;Sense dades;38;0
26/04/2015;20;Sense dades;Sense dades
27/04/2015;Sense dades;8;0
28/04/2015;11;Sense dades;Sense dades
29/04/2015;Sense dades;22;0
30/04/2015;17;Sense dades;Sense dades
01/05/2015;Sense dades;33;0
02/05/2015;17;Sense dades;Sense dades
03/05/2015;Sense dades;28;0
04/05/2015;17;Sense dades;Sense dades
05/05/2015;Sense dades;40;0
06/05/2015;21;Sense dades;Sense dades
07/05/2015;Sense dades;32;0
08/05/2015;21;Sense dades;Sense dades
09/05/2015;Sense dades;29;0
10/05/2015;19;Sense dades;Sense dades
11/05/2015;Sense dades;Sense dades;Sense dades
12/05/2015;21;Sense dades;Sense dades
13/05/2015;Sense dades;37;0
14/05/2015;27;Sense dades;Sense dades
15/05/2015;Sense dades;48;0
16/05/2015;21;Sense dades;Sense dades
17/05/2015;Sense dades;26;0
18/05/2015;31;Sense dades;Sense dades
19/05/2015;Sense dades;20;0
20/05/2015;9;Sense dades;Sense dades
21/05/2015;Sense dades;21;0
22/05/2015;17;Sense dades;Sense dades
23/05/2015;Sense dades;Sense dades;Sense dades
24/05/2015;16;Sense dades;Sense dades
25/05/2015;Sense dades;21;0
26/05/2015;18;Sense dades;Sense dades
27/05/2015;Sense dades;26;0
28/05/2015;Sense dades;Sense dades;Sense dades
29/05/2015;Sense dades;26;0
30/05/2015;15;Sense dades;Sense dades
31/05/2015;Sense dades;17;0
01/06/2015;16;Sense dades;Sense dades
02/06/2015;Sense dades;27;0
03/06/2015;23;Sense dades;Sense dades
04/06/2015;Sense dades;34;0
05/06/2015;24;Sense dades;Sense dades
06/06/2015;Sense dades;23;0
07/06/2015;20;Sense dades;Sense dades
08/06/2015;Sense dades;24;0
09/06/2015;17;Sense dades;Sense dades
10/06/2015;Sense dades;20;0
11/06/2015;15;Sense dades;Sense dades
12/06/2015;Sense dades;25;0
13/06/2015;10;Sense dades;Sense dades
14/06/2015;Sense dades;16;0
15/06/2015;10;Sense dades;Sense dades
16/06/2015;Sense dades;13;0
17/06/2015;12;Sense dades;Sense dades
18/06/2015;Sense dades;25;0
19/06/2015;16;Sense dades;Sense dades
20/06/2015;Sense dades;25;0
21/06/2015;17;Sense dades;Sense dades
22/06/2015;Sense dades;24;0
23/06/2015;23;Sense dades;Sense dades
24/06/2015;Sense dades;21;0
25/06/2015;14;Sense dades;Sense dades
26/06/2015;Sense dades;21;0
27/06/2015;13;Sense dades;Sense dades
28/06/2015;Sense dades;17;0
29/06/2015;19;Sense dades;Sense dades
30/06/2015;Sense dades;21;0
01/07/2015;15;Sense dades;Sense dades
02/07/2015;Sense dades;18;0
03/07/2015;15;Sense dades;Sense dades
04/07/2015;Sense dades;27;0
05/07/2015;20;Sense dades;Sense dades
06/07/2015;Sense dades;34;0
07/07/2015;25;Sense dades;Sense dades
08/07/2015;Sense dades;29;0
09/07/2015;15;Sense dades;Sense dades
10/07/2015;Sense dades;32;0
11/07/2015;15;Sense dades;Sense dades
12/07/2015;Sense dades;26;0
13/07/2015;20;Sense dades;Sense dades
14/07/2015;Sense dades;30;0
15/07/2015;25;Sense dades;Sense dades
16/07/2015;Sense dades;28;0
17/07/2015;Sense dades;Sense dades;Sense dades
18/07/2015;Sense dades;29;0
19/07/2015;11;Sense dades;Sense dades
20/07/2015;Sense dades;25;0
21/07/2015;17;Sense dades;Sense dades
22/07/2015;Sense dades;22;0
23/07/2015;Sense dades;Sense dades;Sense dades
24/07/2015;Sense dades;25;0
25/07/2015;16;Sense dades;Sense dades
26/07/2015;Sense dades;24;0
27/07/2015;11;Sense dades;Sense dades
28/07/2015;Sense dades;23;0
29/07/2015;11;Sense dades;Sense dades
30/07/2015;Sense dades;18;0
31/07/2015;15;Sense dades;Sense dades
01/08/2015;Sense dades;Sense dades;Sense dades
02/08/2015;Sense dades;Sense dades;Sense dades
03/08/2015;Sense dades;Sense dades;Sense dades
04/08/2015;Sense dades;Sense dades;Sense dades
05/08/2015;Sense dades;Sense dades;Sense dades
06/08/2015;Sense dades;Sense dades;Sense dades
07/08/2015;Sense dades;Sense dades;Sense dades
08/08/2015;Sense dades;Sense dades;Sense dades
09/08/2015;Sense dades;Sense dades;Sense dades
10/08/2015;Sense dades;Sense dades;Sense dades
11/08/2015;Sense dades;Sense dades;Sense dades
12/08/2015;Sense dades;Sense dades;Sense dades
13/08/2015;Sense dades;Sense dades;Sense dades
14/08/2015;Sense dades;Sense dades;Sense dades
15/08/2015;Sense dades;Sense dades;Sense dades
16/08/2015;Sense dades;Sense dades;Sense dades
17/08/2015;Sense dades;Sense dades;Sense dades
18/08/2015;Sense dades;Sense dades;Sense dades
19/08/2015;Sense dades;Sense dades;Sense dades
20/08/2015;Sense dades;Sense dades;Sense dades
21/08/2015;Sense dades;Sense dades;Sense dades
22/08/2015;Sense dades;Sense dades;Sense dades
23/08/2015;Sense dades;Sense dades;Sense dades
24/08/2015;Sense dades;Sense dades;Sense dades
25/08/2015;Sense dades;Sense dades;Sense dades
26/08/2015;Sense dades;Sense dades;Sense dades
27/08/2015;Sense dades;Sense dades;Sense dades
28/08/2015;Sense dades;Sense dades;Sense dades
29/08/2015;Sense dades;Sense dades;Sense dades
30/08/2015;Sense dades;Sense dades;Sense dades
31/08/2015;Sense dades;Sense dades;Sense dades
01/09/2015;Sense dades;Sense dades;Sense dades
02/09/2015;Sense dades;Sense dades;Sense dades
03/09/2015;Sense dades;Sense dades;Sense dades
04/09/2015;Sense dades;Sense dades;Sense dades
05/09/2015;Sense dades;Sense dades;Sense dades
06/09/2015;Sense dades;Sense dades;Sense dades
07/09/2015;Sense dades;Sense dades;Sense dades
08/09/2015;Sense dades;Sense dades;Sense dades
09/09/2015;Sense dades;Sense dades;Sense dades
10/09/2015;Sense dades;Sense dades;Sense dades
11/09/2015;Sense dades;Sense dades;Sense dades
12/09/2015;Sense dades;Sense dades;Sense dades
13/09/2015;Sense dades;Sense dades;Sense dades
14/09/2015;Sense dades;Sense dades;Sense dades
15/09/2015;Sense dades;Sense dades;Sense dades
16/09/2015;Sense dades;Sense dades;Sense dades
17/09/2015;Sense dades;Sense dades;Sense dades
18/09/2015;Sense dades;Sense dades;Sense dades
19/09/2015;Sense dades;Sense dades;Sense dades
20/09/2015;Sense dades;Sense dades;Sense dades
21/09/2015;Sense dades;Sense dades;Sense dades
22/09/2015;Sense dades;Sense dades;Sense dades
23/09/2015;Sense dades;Sense dades;Sense dades
24/09/2015;Sense dades;Sense dades;Sense dades
25/09/2015;Sense dades;Sense dades;Sense dades
26/09/2015;Sense dades;Sense dades;Sense dades
27/09/2015;Sense dades;Sense dades;Sense dades
28/09/2015;Sense dades;Sense dades;Sense dades
29/09/2015;Sense dades;Sense dades;Sense dades
30/09/2015;Sense dades;Sense dades;Sense dades
01/10/2015;Sense dades;Sense dades;Sense dades
02/10/2015;Sense dades;Sense dades;Sense dades
03/10/2015;Sense dades;Sense dades;Sense dades
04/10/2015;Sense dades;Sense dades;Sense dades
05/10/2015;Sense dades;Sense dades;Sense dades
06/10/2015;Sense dades;Sense dades;Sense dades
07/10/2015;Sense dades;Sense dades;Sense dades
08/10/2015;Sense dades;Sense dades;Sense dades
09/10/2015;Sense dades;Sense dades;Sense dades
10/10/2015;Sense dades;Sense dades;Sense dades
11/10/2015;Sense dades;Sense dades;Sense dades
12/10/2015;Sense dades;Sense dades;Sense dades
13/10/2015;Sense dades;Sense dades;Sense dades
14/10/2015;Sense dades;Sense dades;Sense dades
15/10/2015;Sense dades;Sense dades;Sense dades
16/10/2015;Sense dades;Sense dades;Sense dades
17/10/2015;Sense dades;Sense dades;Sense dades
18/10/2015;Sense dades;Sense dades;Sense dades
19/10/2015;Sense dades;Sense dades;Sense dades
20/10/2015;Sense dades;Sense dades;Sense dades
21/10/2015;Sense dades;Sense dades;Sense dades
22/10/2015;Sense dades;Sense dades;Sense dades
23/10/2015;Sense dades;Sense dades;Sense dades
24/10/2015;Sense dades;Sense dades;Sense dades
25/10/2015;Sense dades;Sense dades;Sense dades
26/10/2015;Sense dades;Sense dades;Sense dades
27/10/2015;Sense dades;Sense dades;Sense dades
28/10/2015;Sense dades;Sense dades;Sense dades
29/10/2015;Sense dades;Sense dades;Sense dades
30/10/2015;Sense dades;Sense dades;Sense dades
31/10/2015;Sense dades;Sense dades;Sense dades
01/11/2015;Sense dades;Sense dades;Sense dades
02/11/2015;Sense dades;Sense dades;Sense dades
03/11/2015;Sense dades;Sense dades;Sense dades
04/11/2015;Sense dades;Sense dades;Sense dades
05/11/2015;Sense dades;Sense dades;Sense dades
